Open|High|Low|Volume|Google Trending|Close
135.3|135.98|132.1|-|19|134.21
134.44|147.49|134|-|17|144.54
144|146.93|134.05|-|16|139
139|139.89|107.72|-|20|116.99
116.38|125.6|92.28|-|21|105.21
106.25|108.13|79.1|-|22|97.75
98.1|115|92.5|-|17|112.5
112.9|118.8|107.14|-|17|115.91
115.98|124.66|106.64|-|17|112.3
112.25|113.44|97.7|-|15|111.5
109.6|115.78|109.6|-|14|113.57
113.2|113.46|109.26|-|15|112.67
112.8|122|111.55|-|14|117.2
117.7|118.68|113.01|-|13|115.24
115.64|117.45|113.44|-|13|115
114.82|118.7|114.5|-|15|117.98
117.98|119.8|110.25|-|14|111.5
111.4|115.81|103.5|-|16|114.22
114.22|118.76|112.2|-|15|118.76
118.21|125.3|116.57|-|15|123.02
123.5|125.25|122.3|-|14|123.5
123.21|124.5|119.57|-|16|121.99
122.5|123.62|120.12|-|15|122
122.02|123|121.21|-|13|122.88
122.89|124|122|-|12|123.89
123.8|126.93|123.1|-|11|126.7
126.3|133.85|125.72|-|12|133.2
133.1|133.22|128.9|-|11|131.98
131.99|136|130.62|-|10|133.48
133.5|135.47|124.7|-|11|129.75
129.77|130.58|125.6|-|14|129
129|132.59|127.66|-|15|132.3
132.25|132.25|127|-|13|128.8
128.8|129.9|126.4|-|12|129
128.81|129.78|127.2|-|11|129.3
129.3|129.4|115.05|-|9|122.29
122.5|122.5|116|-|8|122.22
120.74|123.84|119.1|-|8|121.42
121.4|123.47|119.9|-|8|121.65
121.9|123.1|117.25|-|7|118
118.97|119|106.42|-|7|111.5
111|111.42|107.3|-|7|108.3
107.89|108.99|88.5|-|9|100
100.44|110.1|95|-|8|106.35
106.35|109.6|104|-|9|108.9
109|111.79|106.73|-|8|108.15
108.78|110.3|100.53|-|7|104
103.95|104.7|98|-|7|99.98
100|103.7|98|-|7|99.99
99.8|101.6|98.95|-|6|99.51
99.9|102.21|99|-|7|101.7
101.95|111.11|101.03|-|7|107.4
107.05|110.22|105.75|-|7|108.25
108.25|114.3|107.5|-|7|110.15
111.29|114.99|107.69|-|6|109.5
109.5|109.96|107.51|-|7|108.3
108.2|108.8|106.23|-|7|107.6
107.9|108.33|100.98|-|8|102.74
102.09|106.47|101.01|-|8|103.95
103.33|105.49|102.79|-|6|104
104|104|101.1|-|7|101.44
101.74|101.74|92.33|-|7|94.65
94.66|99.99|93|-|7|94.99
95|98.12|94.22|-|9|96.61
97.51|97.66|86.3|-|8|88.05
88.05|92.3|87.51|-|13|90.13
90.41|90.98|76.98|-|9|77.53
78.89|83.11|72|-|8|80.53
79.99|80|65.53|-|8|68.43
68.5|75|66.82|-|7|70.28
68.75|74.56|66.62|-|8|74.56
76.5|80|72.6|-|7|76.52
76|78.3|72.52|-|7|76.69
76.72|87|76.2|-|7|86.76
88|90.28|85.08|-|7|88.98
88.98|104|88.17|-|7|93.59
93.99|98.25|88.06|-|7|98.13
98.7|98.7|92.86|-|6|94.69
93.61|101.9|93.11|-|6|98.4
98.89|99.86|96.14|-|6|97.45
96.71|99.97|96.18|-|6|98.5
98.5|98.8|86.2|-|6|90.58
90.07|95.2|87.8|-|5|92.17
92|93.1|89.27|-|6|89.39
89.82|91.95|88|-|6|90.76
92|92|90.08|-|7|91.61
91.6|96.82|91.6|-|7|95.56
95.56|95.99|93|-|7|94.51
94.5|97.33|93.87|-|7|96.9
96.95|97.47|96|-|6|96.02
96.02|97|93|-|6|94.12
94.4|100.58|94|-|6|99.76
98.6|102.5|98.45|-|6|101.2
101.49|107.99|100.47|-|8|107.99
107.95|111.34|103.88|-|8|106.09
106.21|108|103.01|-|6|104
104.86|108|101.21|-|6|104.5
104.5|105.78|102|-|6|104
104.95|105.95|103.52|-|7|105.14
105.12|107.77|105|-|7|106.22
106.72|107.38|105.56|-|6|106.75
106.75|106.75|106.75|-|6|106.75
106.75|106.75|101.26|-|7|103
103.07|105.75|101.94|-|7|102.8
102.8|103.9|102.41|-|6|103
103|105.19|102.75|-|6|105
105|108|103.5|-|8|106.64
106.99|109.35|104.65|-|8|109
109.56|115|108|-|10|112.56
112.56|113.25|109|-|8|109.99
110|112.3|108.52|-|8|108.99
108.99|113.75|108.22|-|7|113.5
112.75|114.69|112|-|7|113.5
113.38|123.06|111.77|-|9|119
119|123.01|117.51|-|9|121.2
121.21|124.91|119.68|-|9|123.3
123.3|123.5|120.6|-|8|121.15
122|122|118.44|-|7|118.5
118.51|121.39|118.02|-|7|120.05
119.6|122.99|119.17|-|7|122.11
122.11|122.75|119.93|-|7|120.06
120.07|127.24|120.07|-|8|126.5
126.48|127.32|122.62|-|8|122.62
122.62|123.7|122.21|-|7|122.39
122.35|135.75|120.99|-|7|133.49
133.09|140.89|132.72|-|6|135.35
135.14|145.81|134.81|-|6|138.34
138.63|146.5|134.89|-|6|135.85
135.61|138.34|133|-|6|136.77
136.53|144.5|123.61|-|6|126.74
126.76|131.44|121.83|-|6|126.43
126.49|127.34|119.15|-|6|119.15
118.89|125.94|118.46|-|5|124.15
124.13|124.72|120.49|-|6|121.66
